"","logFC","logCPM","PValue","FDR"
"SPANXC|64663",-3.51592202820386,0.869434360943266,5.00970639646281e-166,8.25544461406101e-164
"TTBK1|84630",2.52602409429229,1.82745398968751,2.66907229419336e-165,4.35835241348192e-163
"SOX10|6663",-3.30894337756562,2.47300836475341,1.00718806204807e-163,1.62982990725292e-161
"CALCR|799",2.69249316217907,-0.892623482231496,4.96293706575898e-161,7.95931031921097e-159
"CLEC2A|387836",-5.98694564571121,-1.70495221167948,5.23789002908864e-161,8.32592749579559e-159
"MS4A15|219995",2.52374381325517,-0.150769893130514,6.90723642897006e-157,1.08831386611544e-154
"MYOC|4653",-3.25597789682846,1.25199538769718,1.2373186425927e-155,1.93258412680435e-153
"AQP2|359",2.46388461125726,1.19983555704044,1.55054797722271e-155,2.40094334197192e-153
"AQP12A|375318",3.66057508517547,-2.85689274849622,2.95111762491283e-155,4.53059613493028e-153
"SLC14A2|8170",2.6540285429072,-0.667020530455127,8.42472919136372e-155,1.28241513334979e-152
"SSX3|10214",-6.2041394861508,-1.95999474673988,9.72932272281253e-155,1.46855541804335e-152
"FAM135B|51059",2.74645779713469,-1.40316224682676,4.46918827326662e-154,6.68962998036792e-152
"SSX2|6757",-3.6812152842995,-0.271296544127994,8.84630111195653e-154,1.313200500603e-151
"C15orf2|23742",3.26829659886733,-2.54646781516666,1.12895246145706e-153,1.66215115677801e-151
"DEFB103B|414325",2.41371702573835,3.05934068763441,4.38177949117921e-153,6.39882302606187e-151
"FGL1|2267",-3.16274582072863,1.5010538546213,5.12996884090353e-153,7.43100809034752e-151
"RNF17|56163",-4.20902282604319,-1.18062526562565,2.81300871647171e-150,4.0421810052212e-148
"SNAP25|6616",2.41970041407862,1.31120453931439,4.21051381869865e-150,6.00232136598929e-148
"HSD3B2|3284",2.6927051166126,-1.43381638790864,1.84597692163677e-149,2.61082184775115e-147
"ZCCHC12|170261",2.49761380280353,-0.555482115608403,4.92300431724245e-149,6.90835965205538e-147
"PNLIPRP2|5408",2.50811030385528,-0.500633324736537,2.21955227995568e-148,3.09051147694294e-146
"MAGEA8|4107",2.47426070604161,-0.41362032379085,7.42301524457788e-148,1.0256323063316e-145
"SYT9|143425",2.73134092585972,-1.58665851094529,5.03288901311944e-146,6.90082079798865e-144
"PKD1L3|342372",2.81144546138773,-1.78257334400429,2.13566345060001e-145,2.90612021967252e-143
"CHGA|1113",2.33797117761901,4.15783665758156,2.31609529487753e-144,3.12794764560828e-142
"LCE3E|353145",2.33917603006895,2.9703586945974,7.24128258900645e-144,9.70656103460701e-142
"PRSS33|260429",2.36810888210979,1.57079954053455,1.12887254622696e-143,1.50198582780212e-141
"KCNH7|90134",2.88570698762714,-2.0739484465195,1.60102067957727e-143,2.11452451812992e-141
"HEPACAM2|253012",2.32790762089211,3.10821499634043,1.44716537550133e-142,1.89737112954415e-140
"KIAA0087|9808",2.98730130517684,-2.29673974845331,3.25160226537377e-142,4.23226665874229e-140
"GLRA2|2742",2.98639009104649,-2.33302724408036,6.13349648175695e-142,7.92588948239701e-140
"VGF|7425",2.34002066958432,1.80843718560233,9.24040755283488e-142,1.18554428902871e-139
"DIRAS2|54769",-2.98309427074468,1.50812318030901,1.13467068078688e-141,1.44545778498539e-139
"RBP2|5948",2.36795955786279,0.505135661379476,1.75699619714239e-141,2.22247645725856e-139
"TSPY3|728137",2.40808921183462,-0.471652190902161,2.84095358140469e-140,3.56847609994343e-138
"BCL8|606",-3.00555976092157,1.18298046507326,1.09461494219585e-138,1.36538011053624e-136
"MYL7|58498",-5.27723853280937,-1.88546526081929,1.6474026948698e-137,2.04073429001734e-135
"TRIM55|84675",-4.06059323565547,-1.22266477439817,7.26732058207745e-135,8.94079536269008e-133
"MRGPRE|116534",-3.87808003528742,-1.1287448915113,1.10853815070944e-134,1.35452804510496e-132
"MS4A10|341116",-3.66951444223484,-1.12455988176935,2.74119090745684e-134,3.32684264052296e-132
"CEND1|51286",2.34135665817163,0.12244147793801,2.76402738633648e-134,3.33204428948831e-132
"SLC30A8|169026",-3.46313928834999,-0.477009022440344,4.69449853687166e-134,5.62150551461925e-132
"IL29|282618",2.61351428692385,-1.60559877970475,1.066127204066e-132,1.26819714168434e-130
"BPIL1|80341",2.22375376328774,5.17491616604118,2.18113725117458e-131,2.57747284905249e-129
"REG3G|130120",2.43894937743076,-0.743533719084858,2.4426803988281e-131,2.86767485776146e-129
"ARG1|383",2.35982467651687,-0.266749456781488,4.24353259539178e-131,4.94950210898878e-129
"SFTA3|253970",3.2643303300176,-2.8660612801732,4.63336862868301e-131,5.36932692312285e-129
"CEACAM20|125931",2.46799765043628,-1.33633609360771,3.30311768855941e-130,3.80324358473744e-128
"HTR3A|3359",2.28081059533141,0.823077005555135,7.26089364258823e-130,8.30701729988343e-128
"SCGB2A1|4246",2.36896856579847,-0.571997355801623,1.25278050042701e-129,1.42420527523227e-127
"LCN15|389812",2.83012292363671,-2.2703817316386,1.33494807473286e-129,1.50807152945608e-127
"NTNG1|22854",-3.3423972650144,-0.25988607917119,3.70460863342992e-129,4.15888626710426e-127
"ABCC8|6833",2.31556017548899,-0.143342069280991,3.73106789326329e-129,4.16257400613634e-127
"KLHL32|114792",2.31641534899526,-0.0167422247187111,1.18995198871583e-128,1.31937763094529e-126
"FAM55D|54827",2.60412537632814,-1.79839089261198,6.57758431909664e-128,7.24825579997631e-126
"MS4A8B|83661",2.20604410614588,2.30566923534112,5.69442705782798e-127,6.23678651296988e-125
"BAAT|570",2.21287062060828,1.82350838760085,5.90272176301533e-127,6.42573868528978e-125
"RBMY1A1|5940",-5.82168153540825,-2.31158362673869,1.53677306051733e-126,1.66286251283206e-124
"FXYD4|53828",2.38004598493884,-0.825931299896863,2.08154813703314e-126,2.23884836152031e-124
"GKN1|56287",-2.7241159983022,4.03643738645316,2.81355402385158e-123,3.00815817716798e-121
"PRAC|84366",3.38223696084615,-3.32720128171189,3.49607656423402e-120,3.71577084300423e-118
"OR4N4|283694",-4.84810846810915,-2.16988426822528,1.51453567901013e-119,1.60024058037529e-117
"IL28A|282616",3.20659232029102,-3.05585458735244,7.82406750604843e-119,8.21847371600245e-117
"RHOXF2B|727940",-2.85954088116325,0.413067767868544,5.79251521690253e-118,6.04913711197693e-116
"LMX1A|4009",2.57873060463239,-2.16662406035387,5.64913988368345e-117,5.8653092827007e-115
"KIF1A|547",2.0948160570423,3.91307513747962,2.23366145384948e-116,2.30580615138186e-114
"KIRREL3|84623",-2.95007335529965,-0.0267046912922562,2.90453230201891e-116,2.98121195479221e-114
"LOR|4014",2.19044146480395,0.410830248073164,4.40109133720819e-116,4.49161378403032e-114
"C1QL2|165257",-3.56732612613175,-1.37751029285994,5.73084618982216e-116,5.81567566449636e-114
"HEPACAM|220296",-3.65164699672572,-1.46365856854552,7.82369265860497e-116,7.89489705246418e-114
"LGALS2|3957",2.08664152190071,3.01012330431738,1.56609450228497e-114,1.57151896368953e-112
"NPPC|4880",-3.1396098812915,-0.772457358549923,3.45728758832086e-113,3.44998887007885e-111
"MCF2|4168",-3.20291619637744,-0.998603547661328,6.0313962787436e-113,5.9854110474471e-111
"SPRR2G|6706",2.05905317802145,4.3647044923442,1.97238571118405e-112,1.94659297496088e-110
"NCRNA00200|399706",-4.73622165861953,-2.27123989969495,4.58377986843847e-112,4.49911770474819e-110
"ACTA1|58",-3.04964749187628,-0.463976931539203,5.41305538661978e-112,5.28420113339481e-110
"ASB5|140458",-2.82944456814025,0.676408238795404,5.52961661516314e-112,5.36880938603029e-110
"TSPYL6|388951",-2.89944804622459,-0.228418960021948,1.22467183781155e-111,1.18266427692317e-109
"DMBT1|1755",2.0460176875822,9.4861794291052,1.29378198606759e-111,1.24272256864952e-109
"TFF2|7032",2.04168159466193,5.94699209508778,5.39643668779718e-111,5.15589339288367e-109
"GAGE2A|729447",-2.93807081625349,-0.585070516310292,7.95815980745374e-111,7.56319928367641e-109
"CACNA1A|773",2.05077431190247,2.49685545594759,3.3563339358213e-110,3.17297211343275e-108
"NOBOX|135935",-5.8478683555523,-2.60988535874614,1.27867481660406e-109,1.20248989821163e-107
